Accuracy,F1 Score,Avg Loss,RNN Type,Hidden Size,Num Layers,Dropout,Bidirectional
0.74,0.73,0.57,plain,300,2,0,False
0.76,0.79,0.53,gru,300,2,0,False
0.74,0.77,0.61,lstm,300,2,0,False
0.74,0.75,0.56,plain,300,2,0,True
0.75,0.78,0.58,gru,300,2,0,True
0.73,0.75,0.63,lstm,300,2,0,True
0.78,0.78,0.52,plain,300,2,0.1,False
0.76,0.78,0.54,gru,300,2,0.1,False
0.77,0.77,0.52,lstm,300,2,0.1,False
0.75,0.76,0.62,plain,300,2,0.1,True
0.79,0.79,0.50,gru,300,2,0.1,True
0.79,0.80,0.45,lstm,300,2,0.1,True
0.75,0.72,0.56,plain,300,2,0.25,False
0.75,0.78,0.59,gru,300,2,0.25,False
0.77,0.79,0.50,lstm,300,2,0.25,False
0.76,0.77,0.58,plain,300,2,0.25,True
0.78,0.79,0.53,gru,300,2,0.25,True
0.76,0.77,0.60,lstm,300,2,0.25,True
0.76,0.78,0.56,plain,300,4,0,False
0.71,0.76,0.65,gru,300,4,0,False
0.76,0.78,0.55,lstm,300,4,0,False
0.70,0.68,0.70,plain,300,4,0,True
0.78,0.80,0.57,gru,300,4,0,True
0.79,0.79,0.49,lstm,300,4,0,True
0.75,0.73,0.56,plain,300,4,0.1,False
0.75,0.77,0.61,gru,300,4,0.1,False
0.78,0.79,0.47,lstm,300,4,0.1,False
0.74,0.75,0.60,plain,300,4,0.1,True
0.75,0.78,0.70,gru,300,4,0.1,True
0.79,0.80,0.53,lstm,300,4,0.1,True
0.60,0.69,0.65,plain,300,4,0.25,False
0.74,0.78,0.59,gru,300,4,0.25,False
0.79,0.79,0.49,lstm,300,4,0.25,False
0.69,0.75,0.76,plain,300,4,0.25,True
0.76,0.79,0.58,gru,300,4,0.25,True
0.75,0.78,0.58,lstm,300,4,0.25,True
0.69,0.59,0.63,plain,300,10,0,False
0.78,0.79,0.50,gru,300,10,0,False
0.78,0.78,0.50,lstm,300,10,0,False
0.73,0.74,0.68,plain,300,10,0,True
0.78,0.80,0.55,gru,300,10,0,True
0.78,0.79,0.58,lstm,300,10,0,True
0.75,0.78,0.56,plain,300,10,0.1,False
0.75,0.76,0.50,gru,300,10,0.1,False
0.72,0.76,0.62,lstm,300,10,0.1,False
0.73,0.75,0.62,plain,300,10,0.1,True
0.76,0.79,0.54,gru,300,10,0.1,True
0.76,0.78,0.59,lstm,300,10,0.1,True
0.77,0.75,0.55,plain,300,10,0.25,False
0.76,0.78,0.60,gru,300,10,0.25,False
0.76,0.78,0.52,lstm,300,10,0.25,False
0.73,0.76,0.61,plain,300,10,0.25,True
0.77,0.79,0.53,gru,300,10,0.25,True
0.78,0.79,0.51,lstm,300,10,0.25,True
0.74,0.75,0.59,plain,150,2,0,False
0.77,0.79,0.51,gru,150,2,0,False
0.73,0.77,0.57,lstm,150,2,0,False
0.76,0.75,0.50,plain,150,2,0,True
0.76,0.78,0.54,gru,150,2,0,True
0.78,0.79,0.49,lstm,150,2,0,True
0.71,0.75,0.61,plain,150,2,0.1,False
0.77,0.78,0.53,gru,150,2,0.1,False
0.74,0.77,0.57,lstm,150,2,0.1,False
0.74,0.77,0.56,plain,150,2,0.1,True
0.73,0.77,0.61,gru,150,2,0.1,True
0.78,0.80,0.48,lstm,150,2,0.1,True
0.76,0.75,0.54,plain,150,2,0.25,False
0.74,0.78,0.60,gru,150,2,0.25,False
0.72,0.77,0.63,lstm,150,2,0.25,False
0.76,0.79,0.54,plain,150,2,0.25,True
0.79,0.80,0.49,gru,150,2,0.25,True
0.78,0.79,0.47,lstm,150,2,0.25,True
0.71,0.75,0.58,plain,150,4,0,False
0.81,0.81,0.45,gru,150,4,0,False
0.77,0.78,0.55,lstm,150,4,0,False
0.78,0.79,0.54,plain,150,4,0,True
0.76,0.78,0.55,gru,150,4,0,True
0.73,0.78,0.72,lstm,150,4,0,True
0.77,0.77,0.53,plain,150,4,0.1,False
0.74,0.77,0.56,gru,150,4,0.1,False
0.77,0.79,0.49,lstm,150,4,0.1,False
0.76,0.76,0.49,plain,150,4,0.1,True
0.79,0.79,0.49,gru,150,4,0.1,True
0.75,0.78,0.70,lstm,150,4,0.1,True
0.69,0.75,0.70,plain,150,4,0.25,False
0.80,0.80,0.47,gru,150,4,0.25,False
0.78,0.79,0.50,lstm,150,4,0.25,False
0.74,0.77,0.56,plain,150,4,0.25,True
0.79,0.79,0.47,gru,150,4,0.25,True
0.74,0.78,0.65,lstm,150,4,0.25,True
0.75,0.77,0.56,plain,150,10,0,False
0.78,0.80,0.47,gru,150,10,0,False
0.78,0.80,0.50,lstm,150,10,0,False
0.71,0.75,0.67,plain,150,10,0,True
0.75,0.78,0.58,gru,150,10,0,True
0.76,0.78,0.57,lstm,150,10,0,True
0.76,0.78,0.55,plain,150,10,0.1,False
0.76,0.79,0.51,gru,150,10,0.1,False
0.78,0.80,0.49,lstm,150,10,0.1,False
0.71,0.76,0.67,plain,150,10,0.1,True
0.78,0.79,0.52,gru,150,10,0.1,True
0.79,0.79,0.51,lstm,150,10,0.1,True
0.75,0.74,0.57,plain,150,10,0.25,False
0.74,0.78,0.64,gru,150,10,0.25,False
0.78,0.79,0.48,lstm,150,10,0.25,False
0.73,0.75,0.62,plain,150,10,0.25,True
0.78,0.80,0.50,gru,150,10,0.25,True
0.78,0.80,0.58,lstm,150,10,0.25,True
0.51,0.09,0.69,plain,10,2,0,False
0.58,0.50,0.67,gru,10,2,0,False
0.61,0.65,0.66,lstm,10,2,0,False
0.60,0.58,0.67,plain,10,2,0,True
0.73,0.70,0.54,gru,10,2,0,True
0.74,0.73,0.56,lstm,10,2,0,True
0.52,0.06,0.69,plain,10,2,0.1,False
0.60,0.49,0.65,gru,10,2,0.1,False
0.61,0.55,0.68,lstm,10,2,0.1,False
0.58,0.58,0.67,plain,10,2,0.1,True
0.76,0.76,0.54,gru,10,2,0.1,True
0.74,0.75,0.55,lstm,10,2,0.1,True
0.51,nan,0.69,plain,10,2,0.25,False
0.64,0.67,0.63,gru,10,2,0.25,False
0.64,0.59,0.66,lstm,10,2,0.25,False
0.71,0.71,0.62,plain,10,2,0.25,True
0.74,0.70,0.55,gru,10,2,0.25,True
0.74,0.73,0.56,lstm,10,2,0.25,True
0.51,0.00,0.69,plain,10,4,0,False
0.64,0.66,0.65,gru,10,4,0,False
0.64,0.65,0.66,lstm,10,4,0,False
0.72,0.70,0.58,plain,10,4,0,True
0.74,0.70,0.54,gru,10,4,0,True
0.75,0.77,0.52,lstm,10,4,0,True
0.51,nan,0.69,plain,10,4,0.1,False
0.60,0.61,0.67,gru,10,4,0.1,False
0.66,0.62,0.65,lstm,10,4,0.1,False
0.70,0.68,0.60,plain,10,4,0.1,True
0.75,0.72,0.52,gru,10,4,0.1,True
0.76,0.77,0.54,lstm,10,4,0.1,True
0.51,nan,0.69,plain,10,4,0.25,False
0.60,0.50,0.67,gru,10,4,0.25,False
0.51,nan,0.69,lstm,10,4,0.25,False
0.62,0.57,0.67,plain,10,4,0.25,True
